kind	candidate	proposed	token_freq	left	left_freq	right	right_freq	count_now	count_if_accepted	decision
compound	nyílászáró	nyílás-záró	862	nyílás	1922	záró	9429	8	9	
compound	alvászavar	alvás-zavar	596	alvás	6445	zavar	11381	9	10	
compound	alvászavarok	alvás-zavarok	570	alvás	6445	zavarok	5754	11	12	
compound	vízsugár	víz-sugár	491	víz	76876	sugár	3150	7	8	
compound	évadzáró	évad-záró	389	évad	2854	záró	9429	7	8	
compound	kékeszöld	kékes-zöld	343	kékes	1879	zöld	46552	8	9	
compound	világoszöld	világos-zöld	341	világos	34008	zöld	46552	10	11	
compound	fúvószenekari	fúvós-zenekari	336	fúvós	708	zenekari	2923	12	13	
compound	rövidzárlat	rövid-zárlat	329	rövid	126564	zárlat	1447	10	11	
compound	nehézsúlyú	nehéz-súlyú	327	nehéz	116595	súlyú	4749	8	9	
compound	leszen	les-zen	306	les	1324	zen	1843	5	6	
compound	zöldzóna	zöld-zóna	262	zöld	46552	zóna	4143	7	8	
compound	gázsprayt	gáz-sprayt	260	gáz	14374	sprayt	290	8	9	
compound	rácsokat	rác-sokat	253	rác	705	sokat	109050	7	8	
compound	fúvószenekara	fúvós-zenekara	250	fúvós	708	zenekara	1418	12	13	
compound	mozsár	moz-sár	236	moz	1106	sár	1822	5	6	
compound	sárgászöld	sárgás-zöld	226	sárgás	1684	zöld	46552	9	10	
compound	honvédzászlóalj	honvéd-zászlóalj	193	honvéd	6367	zászlóalj	1399	13	14	
compound	szürkészöld	szürkés-zöld	193	szürkés	910	zöld	46552	9	10	
compound	alvászavarnak	alvás-zavarnak	178	alvás	6445	zavarnak	1193	12	13	
compound	amcsik	amc-sik	171	amc	868	sik	212	5	6	
compound	házsor	ház-sor	169	ház	73250	sor	119695	5	6	
compound	védzáradék	véd-záradék	163	véd	3483	záradék	1257	9	10	
compound	mozsárban	moz-sárban	158	moz	1106	sárban	1086	8	9	
compound	smaragdzöld	smaragd-zöld	155	smaragd	378	zöld	46552	10	11	
compound	bizsereg	biz-sereg	148	biz	2137	sereg	5019	7	8	
compound	estélyen	estél-yen	146	estél	232	yen	177	7	8	
compound	vízsugarat	víz-sugarat	141	víz	76876	sugarat	352	9	10	
compound	táncsport	tánc-sport	140	tánc	9408	sport	27744	8	9	
compound	termékenyen	terméken-yen	137	terméken	787	yen	177	10	11	
compound	próbaidőszak	próbaidős-zak	134	próbaidős	156	zak	263	11	12	
compound	magyaroszágon	magyaros-zágon	133	magyaros	2957	zágon	166	11	12	
compound	nagyin	nag-yin	128	nag	169	yin	175	5	6	
compound	beszédzavar	beszéd-zavar	124	beszéd	16707	zavar	11381	9	10	
compound	vényen	vén-yen	122	vén	7384	yen	177	5	6	
compound	vízsugaras	víz-sugaras	118	víz	76876	sugaras	463	9	10	
compound	szívritmuszavar	szívritmus-zavar	114	szívritmus	161	zavar	11381	13	14	
compound	rácsap	rác-sap	113	rác	705	sap	971	5	6	
compound	identitászavarban	identitás-zavarban	113	identitás	5890	zavarban	2035	16	17	
compound	fúvószenekarok	fúvós-zenekarok	113	fúvós	708	zenekarok	2648	13	14	
compound	házsorok	ház-sorok	111	ház	73250	sorok	9805	7	8	
compound	kiszombor	kis-zombor	107	kis	322087	zombor	257	8	9	
compound	pénzsóvár	pénz-sóvár	105	pénz	53997	sóvár	281	8	9	
